"The National Center for Health Statistics (NCHS) has published an update to  the International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM) diagnosis codes, which will become effective October 1, 2019.   
The FY 2020 (October 1, 2019-September 30, 2020) Conversion Table for new ICD-10-CM codes is provided to assist users in data retrieval.  For each new code the table shows the effective date and its previously assigned code equivalent.",,
Current code assignment,Effective October 1,Previous Code(s) Assignment
I69.218,2016,I69.21
I69.219,2016,I69.21
I69.310,2016,I69.31
I69.311,2016,I69.31
I69.312,2016,I69.31
I69.313,2016,I69.31
I69.314,2016,I69.31
I69.315,2016,I69.31
I69.318,2016,I69.31
I69.319,2016,I69.31
I69.810,2016,I69.81
I69.811,2016,I69.81
I69.812,2016,I69.81
I69.813,2016,I69.81
I69.814,2016,I69.81
I69.815,2016,I69.81
I69.818,2016,I69.81
I69.819,2016,I69.81
I69.910,2016,I69.91
I69.911,2016,I69.91
I69.912,2016,I69.91
I69.913,2016,I69.91
I69.914,2016,I69.91
I69.915,2016,I69.91
I69.918,2016,I69.91
I69.919,2016,I69.91
I72.5,2016,I72.8
I72.6,2016,I72.8
I77.70,2016,I77.79
I77.75,2016,I77.79
I77.76,2016,I77.79
I77.77,2016,I77.79
I80.241,2019,I80.291
I80.242,2019,I80.292
I80.243,2019,I80.293
I80.249,2019,I80.299
I80.251,2019,I80.291
I80.252,2019,I80.292
I80.253,2019,I80.293
I80.259,2019,I80.299
I82.451,2019,I82.491
I82.452,2019,I82.492
I82.453,2019,I82.493
I82.459,2019,I82.499
I82.461,2019,I82.491
I82.462,2019,I82.492
I82.463,2019,I82.493
I82.469,2019,I82.499
I82.551,2019,I82.591
I82.552,2019,I82.592
I82.553,2019,I82.593
I82.559,2019,I82.599
I82.561,2019,I82.591
I82.562,2019,I82.592
I82.563,2019,I82.593
I82.569,2019,I82.599
I97.620,2016,I97.62
I97.621,2016,I97.62
I97.622,2016,I97.62
I97.630,2016,I97.610
I97.631,2016,I97.611
I97.638,2016,I97.618
I97.640,2016,I97.610
I97.641,2016,I97.611
I97.648,2016,I97.618
J95.860,2016,J95.830
J95.861,2016,J95.831
J95.862,2016,J95.830
J95.863,2016,J95.831
J98.51,2016,J98.5
J98.59,2016,J98.5
K04.01,2016,K04.0
K04.02,2016,K04.0
K05.211,2016,K05.21
K05.212,2016,K05.21
K05.213,2016,K05.21
K05.219,2016,K05.21
K05.221,2016,K05.22
K05.222,2016,K05.22
K05.223,2016,K05.22
K05.229,2016,K05.22
K05.311,2016,K05.31
K05.312,2016,K05.31
K05.313,2016,K05.31
K05.319,2016,K05.31
K05.321,2016,K05.32
K05.322,2016,K05.32
K05.323,2016,K05.32
K05.329,2016,K05.32
K06.010,2017,K06.0
K06.011,2017,K06.0
K06.012,2017,K06.0
K06.013,2017,K06.0
K06.020,2017,K06.0
K06.021,2017,K06.0
K06.022,2017,K06.0
K06.023,2017,K06.0
K06.3,2016,K06.8
K08.81,2016,K08.8
K08.82,2016,K08.8
K08.89,2016,K08.8
K35.20,2018,K35.2
K35.21,2018,K35.2
K35.30,2018,K35.3
K35.31,2018,K35.3
K35.32,2018,K35.3
K35.33,2018,K35.3
K35.890,2018,K35.89
K35.891,2018,K35.89
K52.21,2016,K52.2
K52.22,2016,K52.2
K52.29,2016,K52.2
K52.3,2016,K52.9
K52.831,2016,K52.89
K52.832,2016,K52.89
K52.838,2016,K52.89
K52.839,2016,K52.89
K55.011,2016,K55.0
K55.012,2016,K55.0
K55.019,2016,K55.0
K55.021,2016,K55.0
K55.022,2016,K55.0
K55.029,2016,K55.0
K55.031,2016,K55.0
K55.032,2016,K55.0
K55.039,2016,K55.0
K55.041,2016,K55.0
K55.042,2016,K55.0
K55.049,2016,K55.0
K55.051,2016,K55.0
K55.052,2016,K55.0
K55.059,2016,K55.0
K55.061,2016,K55.0
K55.062,2016,K55.0
K55.069,2016,K55.0
K55.30,2016,K55.8
K55.31,2016,K55.8
K55.32,2016,K55.8
K55.33,2016,K55.8
K56.50,2017,K56.5
K56.51,2017,K56.5
K56.52,2017,K56.5
K56.600,2017,K56.60
K56.601,2017,K56.60
